id,name,lat,lng
1,Alba,46.1328,23.5333
2,Arad,46.3595,21.8
3,Arges,44.9995,24.82
4,Bacau,46.4195,26.78
5,Bihor,47.0717,21.9211
6,Bistrita-Nasaud,47.1384,24.5003
7,Botosani,47.8395,26.82
8,Braila,45.1095,27.68
9,Brasov,45.7895,25.28
10,Bucuresti,44.4348,26.1028
11,Buzau,45.2695,26.77
12,Calarasi,44.3328,27.55
13,Caras-Severin,45.1495,22.07
14,Cluj,46.7745,23.5917
15,Constanta,44.2695,28.31
16,Covasna,45.8995,26.03
17,Dambovita,44.8895,25.47
18,Dolj,44.1695,23.7
19,Galati,45.7895,27.78
20,Giurgiu,44.1703,25.8671
21,Gorj,45.0395,23.3
22,Harghita,46.3595,25.8
23,Hunedoara,45.7795,22.93
24,Ialomita,44.6395,27.3
25,Iasi,47.2495,27.31
26,Maramures,47.673,23.9959
27,Mehedinti,44.6295,22.88
28,Mures,46.5895,24.61
29,Neamt,46.9695,26.4
30,Olt,44.4328,24.3667
31,Prahova,45.0995,26.02
32,Salaj,47.1995,23.05
33,Satu Mare,47.6895,22.89
34,Sibiu,45.8695,24.23
35,Suceava,47.5796,25.76
36,Teleorman,43.6565,25.3569
37,Timis,45.7795,21.35
38,Tulcea,44.9795,28.77
39,Valcea,45.0795,24.11
40,Vaslui,46.5895,27.77
41,Vrancea,45.7895,26.97
206,Ilfov,44.6095,26.12
